player_id,player_name
2555,Nick Collison
201142,Kevin Durant
201566,Russell Westbrook
201571,D.J. Augustin
201586,Serge Ibaka
201627,Anthony Morrow
202683,Enes Kanter
202713,Kyle Singler
203079,Dion Waiters
203460,Andre Roberson
203500,Steven Adams
203956,Mitch McGary
1626166,Cameron Payne
2449,Luis Scola
200768,Kyle Lowry
201942,DeMar DeRozan
201949,James Johnson
201960,DeMarre Carroll
202335,Patrick Patterson
202685,Jonas Valanciunas
202687,Bismack Biyombo
202709,Cory Joseph
203082,Terrence Ross
203461,Anthony Bennett
1626153,Delon Wright
1626181,Norman Powell
202388,Donald Sloan
202711,Bojan Bogdanovic
201572,Brook Lopez
201961,Wayne Ellington
203080,Thomas Robinson
201152,Thaddeus Young
200745,Andrea Bargnani
203186,Willie Reed
203499,Shane Larkin
203508,Sergey Karasev
203900,Markel Brown
2207,Joe Johnson
203512,Lucas Nogueira
203998,Bruno Caboclo
201564,O.J. Mayo
201573,Jerryd Bayless
202328,Greg Monroe
202349,Greivis Vasquez
203089,John Henson
203101,Miles Plumlee
203114,Khris Middleton
203142,Chris Copeland
203487,Michael Carter-Williams
203507,Giannis Antetokounmpo
203948,Johnny O'Bryant
203996,Damien Inglis
1626173,Rashad Vaughn
201171,Carl Landry
203138,Hollis Thompson
203457,Nerlens Noel
203477,Isaiah Canaan
203496,Robert Covington
203515,Phil Pressey
203917,Nik Stauskas
203924,Jerami Grant
203960,JaKarr Sampson
204456,TJ McConnell
1626143,Jahlil Okafor
1626158,Richaun Holmes
1626174,Christian Wood
2547,Chris Bosh
2548,Dwyane Wade
201177,Josh McRoberts
2405,Amar'e Stoudemire
201609,Goran Dragic
204020,Tyler Johnson
2736,Luol Deng
2365,Chris Andersen
201596,Mario Chalmers
1626159,Justise Winslow
202355,Hassan Whiteside
203516,James Ennis
2617,Udonis Haslem
1626196,Josh Richardson
203950,Jarnell Stokes
101123,Gerald Green
2757,Beno Udrih
201150,Spencer Hawes
101107,Marvin Williams
203087,Jeremy Lamb
202391,Jeremy Lin
1626151,Aaron Harrison
202689,Kemba Walker
203798,PJ Hairston
203148,Brian Roberts
203584,Troy Daniels
203469,Cody Zeller
1626163,Frank Kaminsky
201946,Tyler Hansbrough
2744,Al Jefferson
201952,Jeff Teague
200794,Paul Millsap
203200,Justin Holiday
202714,Shelvin Mack
203934,Lamar Patterson
201143,Al Horford
203471,Dennis Schroder
204002,Walter Tavares
203145,Kent Bazemore
200757,Thabo Sefolosha
2594,Kyle Korver
203488,Mike Muscala
203118,Mike Scott
203932,Aaron Gordon
203473,Dewayne Dedmon
203901,Elfrid Payton
203506,Victor Oladipo
101112,Channing Frye
203095,Evan Fournier
203906,Devyn Marble
202699,Tobias Harris
203894,Shabazz Napier
201160,Jason Smith
1626209,Mario Hezonja
201228,CJ Watson
203094,Andrew Nicholson
203088,Kendall Marshall
203100,Tony Wroten
1717,Dirk Nowitzki
2585,Zaza Pachulia
101109,Raymond Felton
101111,Charlie Villanueva
101114,Deron Williams
200826,Jose Juan Barea
201580,JaVale McGee
202083,Wesley Matthews
202379,Jeremy Evans
202718,Chandler Parsons
203098,John Jenkins
203939,Dwight Powell
1626147,Justin Anderson
202362,Lance Stephenson
101108,Chris Paul
200755,JJ Redick
2746,Josh Smith
201599,DeAndre Jordan
203143,Pablo Prigioni
2037,Jamal Crawford
201601,Luc Mbah a Moute
203085,Austin Rivers
201933,Blake Griffin
202325,Wesley Johnson
1718,Paul Pierce
202332,Cole Aldrich
1626171,Bobby Portis
201565,Derrick Rose
203946,Cameron Bairstow
202703,Nikola Mirotic
202710,Jimmy Butler
201959,Taj Gibson
202734,E'Twaun Moore
203503,Tony Snell
2200,Pau Gasol
2550,Kirk Hinrich
201166,Aaron Brooks
1626245,Cristiano Felicio
203926,Doug McDermott
201156,Nick Young
1626156,D'Angelo Russell
101138,Brandon Bass
203527,Ryan Kelly
203903,Jordan Clarkson
1626204,Larry Nance Jr.
1626273,Marcelo Huertas
201579,Roy Hibbert
101150,Lou Williams
977,Kobe Bryant
203944,Julius Randle
1897,Metta World Peace
203135,Robert Sacre
203937,Kyle Anderson
202695,Kawhi Leonard
201988,Patty Mills
2225,Tony Parker
200746,LaMarcus Aldridge
201980,Danny Green
2588,Matt Bonner
203613,Jonathon Simmons
2446,Rasual Butler
1938,Manu Ginobili
1495,Tim Duncan
2561,David West
2564,Boris Diaw
101135,David Lee
101161,Amir Johnson
201973,Jonas Jerebko
202323,Evan Turner
202340,Avery Bradley
202738,Isaiah Thomas
203092,Tyler Zeller
203096,Jared Sullinger
203109,Jae Crowder
203482,Kelly Olynyk
203935,Marcus Smart
1626154,RJ Hunter
1626179,Terry Rozier
201149,Joakim Noah
1626164,Devin Booker
202339,Eric Bledsoe
202688,Brandon Knight
201603,Sonny Weems
202693,Markieff Morris
203933,TJ Warren
101179,Ronnie Price
200782,PJ Tucker
203462,Archie Goodwin
203458,Alex Len
202720,Jon Leuer
203141,Mirza Teletovic
203928,Cory Jefferson
201587,Nicolas Batum
204060,Joe Ingles
203504,Trey Burke
203918,Rodney Hood
202692,Alec Burks
202407,Elijah Millsap
202324,Derrick Favors
202330,Gordon Hayward
203187,Chris Johnson
203526,Raul Neto
203497,Rudy Gobert
202344,Trevor Booker
1626168,Trey Lyles
203481,Jeff Withey
201162,Jared Dudley
202322,John Wall
201196,Ramon Sessions
204067,Jarell Eddie
1626162,Kelly Oubre
101162,Marcin Gortat
202066,Garrett Temple
203490,Otto Porter
2743,Kris Humphries
201971,DeJuan Blair
202390,Gary Neal
2400,Drew Gooden
101139,CJ Miles
1626202,Joe Young
201155,Rodney Stuckey
201588,George Hill
202730,Lavoy Allen
201978,Chase Budinger
101145,Monta Ellis
202331,Paul George
201941,Jordan Hill
101133,Ian Mahinmi
1626167,Myles Turner
203922,Glenn Robinson
203524,Solomon Hill
2403,Nene Hilario
2034,Mike Miller
2749,Jameer Nelson
200751,Randy Foye
201568,Danilo Gallinari
201581,JJ Hickson
201589,Darrell Arthur
202702,Kenneth Faried
203115,Will Barton
203123,Kostas Papanikolaou
203530,Joffrey Lauvergne
203999,Nikola Jokic
1626144,Emmanuel Mudiay
201567,Kevin Love
2592,James Jones
202681,Kyrie Irving
202697,Iman Shumpert
2747,J.R. Smith
203521,Matthew Dellavedova
203099,Jared Cunningham
202684,Tristan Thompson
2760,Anderson Varejao
202389,Timofey Mozgov
2544,LeBron James
2210,Richard Jefferson
2590,Mo Williams
203898,Tyler Ennis
203953,Jabari Parker
2571,Leandro Barbosa
2733,Shaun Livingston
2738,Andre Iguodala
101106,Andrew Bogut
201574,Jason Thompson
201575,Brandon Rush
201578,Marreese Speights
201939,Stephen Curry
202691,Klay Thompson
203105,Festus Ezeli
203110,Draymond Green
203546,Ian Clark
203949,James Michael McAdoo
203078,Bradley Beal
201600,Omer Asik
202397,Ish Smith
202337,Luke Babbitt
201569,Eric Gordon
201950,Jrue Holiday
202087,Alonzo Gee
201962,Toney Douglas
203076,Anthony Davis
202708,Norris Cole
202690,Jimmer Fredette
201583,Ryan Anderson
201582,Alexis Ajinca
201967,Dante Cunningham
201619,Sasha Kaun
203925,Joe Harris
203084,Harrison Barnes
1626161,Willie Cauley-Stein
201158,Marco Belinelli
202341,James Anderson
200752,Rudy Gay
200765,Rajon Rondo
203112,Quincy Acy
202326,DeMarcus Cousins
201956,Omri Casspi
203463,Ben McLemore
203961,Eric Moreland
203552,Seth Curry
201585,Kosta Koufos
2734,Devin Harris
1626257,Salah Mejri
202338,Kevin Seraphin
204038,Langston Galloway
101181,Jose Calderon
204001,Kristaps Porzingis
2546,Carmelo Anthony
201577,Robin Lopez
203124,Kyle O'Quinn
203921,Cleanthony Early
1626170,Jerian Grant
200811,Lou Amundson
2756,Sasha Vujacic
202682,Derrick Williams
202498,Lance Thomas
201954,Darren Collison
2406,Caron Butler
203963,Shayne Whittington
203923,James Young
204028,Tarik Black
